,Week,TV,radio,newspaper,sales
142,2022-09-25,220.5,33.2,37.9,20.1
143,2022-10-02,104.6,5.7,34.4,10.4
144,2022-10-09,96.2,14.8,38.9,11.4
145,2022-10-16,140.3,1.9,9.0,10.3
146,2022-10-23,240.1,7.3,8.7,13.2
147,2022-10-30,243.2,49.0,44.3,25.4
148,2022-11-06,38.0,40.3,11.9,10.9
149,2022-11-13,44.7,25.8,20.6,10.1
150,2022-11-20,280.7,13.9,37.0,16.1
151,2022-11-27,121.0,8.4,48.7,11.6
152,2022-12-04,197.6,23.3,14.2,16.6
153,2022-12-11,171.3,39.7,37.7,19.0
154,2022-12-18,187.8,21.1,9.5,15.6
155,2022-12-25,4.1,11.6,5.7,3.2
156,2023-01-01,93.9,43.5,50.5,15.3
157,2023-01-08,149.8,1.3,24.3,10.1
158,2023-01-15,11.7,36.9,45.2,7.3
159,2023-01-22,131.7,18.4,34.6,12.9
160,2023-01-29,172.5,18.1,30.7,14.4
161,2023-02-05,85.7,35.8,49.3,13.3
162,2023-02-12,188.4,18.1,25.6,14.9
163,2023-02-19,163.5,36.8,7.4,18.0
164,2023-02-26,117.2,14.7,5.4,11.9
165,2023-03-05,234.5,3.4,84.8,11.9
166,2023-03-12,17.9,37.6,21.6,8.0
167,2023-03-19,206.8,5.2,19.4,12.2
168,2023-03-26,215.4,23.6,57.6,17.1
169,2023-04-02,284.3,10.6,6.4,15.0
170,2023-04-09,50.0,11.6,18.4,8.4
171,2023-04-16,164.5,20.9,47.4,14.5
172,2023-04-23,19.6,20.1,17.0,7.6
173,2023-04-30,168.4,7.1,12.8,11.7
174,2023-05-07,222.4,3.4,13.1,11.5
175,2023-05-14,276.9,48.9,41.8,27.0
176,2023-05-21,248.4,30.2,20.3,20.2
177,2023-05-28,170.2,7.8,35.2,11.7
178,2023-06-04,276.7,2.3,23.7,11.8
179,2023-06-11,165.6,10.0,17.6,12.6
180,2023-06-18,156.6,2.6,8.3,10.5
181,2023-06-25,218.5,5.4,27.4,12.2
182,2023-07-02,56.2,5.7,29.7,8.7
183,2023-07-09,287.6,43.0,71.8,26.2
184,2023-07-16,253.8,21.3,30.0,17.6
185,2023-07-23,205.0,45.1,19.6,22.6
186,2023-07-30,139.5,2.1,26.6,10.3
187,2023-08-06,191.1,28.7,18.2,17.3
188,2023-08-13,286.0,13.9,3.7,15.9
189,2023-08-20,18.7,12.1,23.4,6.7
190,2023-08-27,39.5,41.1,5.8,10.8
191,2023-09-03,75.5,10.8,6.0,9.9
192,2023-09-10,17.2,4.1,31.6,5.9
193,2023-09-17,166.8,42.0,3.6,19.6
194,2023-09-24,149.7,35.6,6.0,17.3
195,2023-10-01,38.2,3.7,13.8,7.6
196,2023-10-08,94.2,4.9,8.1,9.7
197,2023-10-15,177.0,9.3,6.4,12.8
198,2023-10-22,283.6,42.0,66.2,25.5
199,2023-10-29,232.1,8.6,8.7,13.4
